id,年度,年級,課次,生字,生字注音,部首,部首注音,總筆畫,部首外筆畫,字義教學,造詞,例句,延伸詞語解釋,成語教學,字形辨別,字音辨別,教學圖卡
122,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
21.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
123,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
22.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
124,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
23.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
125,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
24.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
126,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
25.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
127,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
26.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
128,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
27.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
129,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
28.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
130,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
29.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
131,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
30.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
132,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
31.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
133,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
32.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
134,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
33.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
135,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
34.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
136,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
35.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
137,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
36.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
138,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
37.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
139,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
38.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
140,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
39.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
141,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
40.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
142,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
41.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
143,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
42.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
144,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
43.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
145,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
44.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
146,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
45.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
147,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
46.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
148,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
47.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
149,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
48.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
150,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
49.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
151,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
50.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
152,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
51.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
153,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
52.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
154,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
53.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
155,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
54.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
156,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
55.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
157,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
56.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
158,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
57.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
159,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
58.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
160,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
59.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
161,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
60.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
162,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
61.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
163,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
62.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
164,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
63.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
165,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
64.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
166,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
65.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
167,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
66.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
168,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
67.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
169,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
68.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
170,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
69.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
171,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
70.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
172,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
71.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
173,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
72.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
174,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
73.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
175,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
74.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
176,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
75.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
177,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
76.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
178,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
77.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
179,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
78.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
180,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
79.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
181,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
80.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
182,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
81.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
183,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
82.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
184,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
83.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
185,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
84.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
186,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
85.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
187,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
86.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
188,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
87.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
189,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
88.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
