編號,年度,年級,課次,生字,生字注音,部首,部首注音,總筆畫,部首外筆畫,字義教學,造詞教學-造詞,造詞教學1,造詞教學2,成語教學,字形辨別,字音辨別,教學圖卡
475,103,4,第五課  老榕樹下讀報紙,眾,眾,目,目,11,6,"1.許多的人。如：群眾、觀眾、眾叛親離
6.數量多。與「寡」相對。如：眾多、眾人、眾說紛紜",聽眾,"解釋
聆聽演說、演唱或廣播的群眾。
例句
這場演講，聽眾多達三百人。","1.觀眾
解釋
觀看表演或比賽的人。
6.群眾
解釋
人民大眾。","眾志成城
解釋
比喻眾人一心，堅固如城。
造句
只要大家同心協力，眾志成城，一定能克服眼前的困難。",不製作,不製作,不製作
476,103,4,第五課  老榕樹下讀報紙,蹲,蹲,足,足,19,12,"彎曲兩腿，臀部虛坐而不著地。如：蹲在地上
",蹲,"解釋
彎曲兩腿，臀部虛坐而不著地。
例句
小朋友看到小貓咪，常會蹲下來和牠玩。","1.蹲坐
解釋
曲膝而坐。
6.蹲俯
解釋
蹲下身體向前傾。",不製作,不製作,不製作,不製作
477,103,4,第五課  老榕樹下讀報紙,圍,圍,囗,囗,12,9,"1.環繞、包攏困住。如：圍繞、包圍、圍攻
2.四周、周邊的大小長度。如：周圍、外圍
7.遮蔽用的布類。如：床圍、轎圍",圍住,"解釋
包圍。
例句
大家把班長圍住，不知道到底是發生了什麼事情？","1.包圍
解釋
由四面八方圍住。
6.外圍
解釋
圍繞於事物中心四周的部分。",不製作,"圍（囗）：周圍、包圍
偉（?）：偉大、偉人
違（?）：違規、違反
緯（?）：緯度、經緯
葦（?）：蘆葦",不製作,不製作
478,103,4,第五課  老榕樹下讀報紙,導,導,寸,寸,16,13,"1.帶領、指引。如：引導、導航
2.教育、啟發。如：指導、開導
7.傳送。如：導電、導熱",報導,"解釋
透過報紙、雜誌、廣播等傳播媒體將新聞告知大眾。
例句
這則新聞報導希望提醒大家，不要隨便接受陌生人的食物，因為人心險惡，還是要小心一點比較好。","1.導讀
解釋
指導閱讀。
6.領導
解釋
統率、引導。","因勢利導
解釋
順著事物發展的趨勢，朝有利的方向引導。
造句
他們都很優秀，我不過就各人專長，因勢利導而已。",不製作,不製作,不製作
479,103,4,第五課  老榕樹下讀報紙,兄,兄,儿,儿,5,3,"1.用以稱男子同胞中先出生者。如：兄長、長兄如父
2.用以尊稱同輩中比自己年紀大的男性。如：表兄、堂兄
7.朋友間相互的敬稱。如：老兄、仁兄",兄妹,"解釋
哥哥和妹妹。
例句
他們兄妹倆相差八歲。","1.兄弟
解釋
男子同胞先出生的為兄，後出生的為弟。
6.堂兄
解釋
稱謂。用來稱呼伯叔的兒子中年歲比自己大者。","四海之內皆兄弟
解釋
全天下的人都親如兄弟。
造句
我們歡迎來自各國的友人，因為四海之內皆兄弟。",不製作,不製作,不製作
480,103,4,第五課  老榕樹下讀報紙,棒,棒,木,木,12,8,"1.木棍。如：木棒、球棒
2.棒狀的長條物。如：冰棒、電棒
3.形容技術高、能力強。如：他的書法寫得真棒！
4.用棍子打。如：當頭棒喝
9.工作的傳承或責任的替換。如：交棒、接棒人",棒球隊,"解釋
因棒球運動而組成的團隊。
例句
今年棒球隊的比賽成績優異，揚名海外。","1.棍棒
解釋
棍子與棒子。
6.少棒
解釋
由年滿九歲到十二歲的兒童所參加的棒球運動，稱為「少棒」。每場比賽六局，壘距較短，球棒較輕，不同於青棒或成棒。","當頭棒喝
解釋
比喻使人立即醒悟的警示。
造句
你這番話猶如當頭棒喝，震醒宛如睡夢中的我。",不製作,不製作,不製作
481,103,4,第五課  老榕樹下讀報紙,配,配,酉,酉,10,3,"1.男女婚嫁。如：許配、婚配
2.妻子。如：元配、繼配
3.依適當的標準或比例，加以調和或拼製。如：配藥、配色、配眼鏡
4.分發、安排。如：支配、分配、配給
5.流放罪人到遠方。如：發配、刺配
6.陪襯、襯托的。如：配角、配飾
11.適合、夠得上。如：以他在學業上突出的表現，的確配稱為資優生。",配合,"解釋
搭配。
例句
配合每週一次的兒童朝會，我們會進行服裝儀容檢查。","1.配件
解釋
搭配主要用品使用的附件。
6.分配
解釋
分攤、調配。",不製作,不製作,不製作,不製作
482,103,4,第五課  老榕樹下讀報紙,考,考,老,老,6,0,"1.高壽、長壽。如：壽考
2.稱死去的父親。如：先考、如喪考妣
3.測驗。如：考試、考驗、考照
4.考試的簡稱。如：段考、模擬考
5.稽核、檢查。如：考查、考核、考勤
10.探究、研究。如：考古、考據、生平不可考",思考,"解釋
思索、考慮。
例句
經過思考後，小弟弟決定將雨傘放在傘架上，以免弄溼地板。","1.考慮
解釋
思量、斟酌。
6.參考
解釋
查證有關材料來幫助研究和了解。","如喪考妣
解釋
比喻悲痛至極。
造句
你只不過被偷了一部電腦，何必哭得如喪考妣般呢？","考（下方部件要造字    ）：考試、考慮
老（匕）：老師、老虎
孝（子）：孝順、忠孝
者（日）：長者、記者",不製作,不製作
483,103,4,第五課  老榕樹下讀報紙,播,播,手,手,15,12,"1.撒布種子。如：播種
2.宣揚、傳布。如：傳播、散播謠言
7.傳送、放送。如：轉播、衛星直播、歌曲點播",播報,"解釋
利用擴音器、收音機或電視機傳送聲音、影像的報導方式。
例句
在體育新聞之後，主播往往會接著播報氣象。","1.播放
解釋
利用擴音器、收音機或電視機、電腦等媒介傳送聲音、影像。
6.播映
解釋
通常指電影或電視節目的播放。","聲名遠播
解釋
聲望名譽流傳甚廣。
造句
他因榮獲「諾貝爾獎」而聲名遠播。","播（?）：播送、主播
翻（羽）：翻滾、打翻
潘（?）：潘安再世",不製作,不製作
484,103,4,第五課  老榕樹下讀報紙,譯,譯,言,言,20,13,"將一種語言文字，轉換為另一種語言文字。如：音譯、義譯、翻譯
",翻譯,"解釋
將某種語言文字用另外一種語言文字表達。
例句
姐姐找到一份有關翻譯的工作。","1.譯者
解釋
翻譯著作的人。
6.譯本
解釋
將一種語言寫成的書籍翻譯成另一種語言後，所得的版本。",不製作,"譯（言）：翻譯、譯者
擇（?）：選擇、擇期
澤（?）：沼澤、光澤",不製作,不製作
485,103,4,第五課  老榕樹下讀報紙,言,言,言,言,7,0,"1.說、講。如：難言之隱、大言不慚、苦不堪言
2.所說的話。如：有言在先、忠言逆耳、人言可畏
7.漢語的一個字稱一言。如：七言詩、五言絕句",語言,"解釋
人類用嘴說出來的話，由語音、語彙和語法所組成，是表達情意、傳遞思想的重要工具。
例句
語言是我們溝通最直接的方式。","1.名言
解釋
有價值、著名的言論。
6.發言
解釋
表達意見、發表言論。","一言難盡
解釋
事情非常複雜，無法用簡單的話把它說得清楚。
造句
經過多年的努力，他終於得到比賽冠軍，他的心情真是一言難盡。",不製作,不製作,不製作
486,103,4,第五課  老榕樹下讀報紙,挑,挑,手,手,9,6,"1.引動、舉起。如：挑眉立目、挑起簾子
2.用長形或尖形器具撥弄。如：挑火、挑刺、挑燈夜讀
3.一種刺繡針法。用針挑起經線或緯線，將線從下穿過。如：挑花
4.搬弄、煽動。如：挑撥、挑戰
5.引誘、逗弄。如：挑逗、挑弄
10.國字筆畫名稱。如：豎挑",挑戰,"解釋
向人故意製造爭端，激起競爭。
例句
雖然今天遭遇了挫折，但他仍打起精神，接受明天的挑戰。","1.挑撥
解釋
搬弄是非。
6.挑明
解釋
將意思表達清楚，使對方明瞭。","挑燈夜戰
解釋
熬夜做事。
造句
為了考上理想的學校，哥哥最近常常挑燈夜戰。","挑（?）：挑戰、挑撥
桃（木）：桃花、桃李
逃（?）：逃跑、脫逃
","挑：挑戰
挑：挑選",不製作
487,103,4,第五課  老榕樹下讀報紙,嘗,嘗,口,口,14,11,"1.辨別滋味。通「嚐」。如：品嘗
2.經歷。如：備嘗艱辛、飽嘗戰禍
3.曾經。如：未嘗、何嘗
8.試探、試驗。如：嘗試",嘗試,"解釋
試一試、試驗。
例句
從今天開始，媽媽嘗試自己開車去上班。","1.品嘗
解釋
古代帝王進食前，先由人試嘗食物；也就是「品品必嘗而後進」的意思。後來引申為仔細品味。
6.未嘗
解釋
不曾。","臥薪嘗膽
解釋
越王句踐戰敗後以柴草臥鋪，並經常舔嘗苦膽，以時時警惕自己不忘所受苦難的故事。後用以比喻刻苦自勵。
造句
雖然經商失敗，但他臥薪嘗膽，希望能東山再起。",不製作,不製作,不製作
488,103,4,第六課  特別的滋味,滋,滋,水,水,12,9,"1.生長、繁殖。如：五穀不滋
2.引發、惹起。如：滋生事端
3.潤澤、溼潤。如：滋潤、滋補、滋養
8.味道、美味。如：餘滋、含甘吮滋",滋味,"解釋
泛指食物酸、甜、苦、辣、鹹等味道。
例句
這家餐廳道地義大利麵的滋味，我一直忘不了。","1.滋生
解釋
繁殖、生長。
6.滋潤
解釋
浸潤、潤澤。","個中滋味
其中的體驗與感受。
造句
為人父母的喜悅與責任，若非親身感受，很難了解個中滋味。",不製作,不製作,不製作
489,103,4,第六課  特別的滋味,餓,餓,食,食,15,7,肚子空，想進食的感覺。與「飽」相對。如：飢餓、挨餓、餓肚,餓,"解釋
肚子空，想進食的感覺。與「飽」相對。
例句
這個星期天，我們全家一起參加「飢餓三十」的活動。","1.飢餓
解釋
腹空急欲得食的感覺。
6.挨餓
解釋
忍受飢餓。","餓虎撲羊
解釋
形容動作迅速且凶猛的樣子。
造句
南京城破，入城的日本暴軍，以餓虎撲羊之勢殘殺百姓。","餓（我）：餓死、飢餓
飽（包）：吃飽、飽和
館（官）：圖書館",不製作,不製作
490,103,4,第六課  特別的滋味,床,床,?,演,7,4,"1.供坐臥、睡覺的家具。如：胡床、木床、行軍床
2.安放器物的架子。如：琴床、筆床、墨床
3.像床的東西。如：河床、花床、冰床
8.量詞。計算被褥、毛毯等的單位。如：一床棉被",床上,"解釋
床的上面。
例句
這隻小貓躺在床上一動也不動，好像睡著了。","1.起床
解釋
離開床鋪。一般指睡醒後下床。
6.床單
解釋
鋪在床墊上的布。","疊床架屋
解釋
比喻重複累贅。貶義。
造句
他這篇讀書報告條理順暢，不會給人疊床架屋之感。",不製作,不製作,不製作
491,103,4,第六課  特別的滋味,廚,廚,?,演,15,12,烹調食物的地方。如：廚房、庖廚,廚房,"解釋
烹調食物的地方。
例句
媽媽一進廚房就忙個不停。","1.廚師
解釋
掌理廚房烹飪事務的師傅。
6.廚具
解釋
烹調食物的用具。",不製作,不製作,不製作,是
492,103,4,第六課  特別的滋味,丁,丁,一,一,2,1,"1.天干的第四位。如：丁亥
2.排列次序的等第。在甲、乙、丙之後，表示第四級，或較差的等級。如：甲乙丙丁
3.成年男子。如：壯丁、男丁、單丁
4.人、人口。如：人丁單薄
5.從事某些勞動職業的人。如：園丁、家丁
10.方形的小型塊狀物。如：雞丁、肉丁",辛,"解釋
方形的小型塊狀物。
例句
宮保雞丁這道菜是爸爸的最愛。","1.布丁
解釋
一種用麵粉、奶油、雞蛋、糖等蒸製而成的點心。
6.壯丁
解釋
年齡已達可服差役的男子。或泛指年輕力壯的男子。","目不識丁
解釋
比喻不識字或毫無學問。
造句
自從義務教育實施以來，已經少有目不識丁的孩子。",不製作,不製作,不製作
493,103,4,第六課  特別的滋味,鍋,鍋,金,金,17,9,烹煮食物的器具。如：砂鍋、快鍋、飯鍋,鍋鏟,"解釋
烹飪時用以翻動、攪拌菜餚的鏟子。
例句
阿姨喜歡用木頭製作的鍋鏟來炒菜。","1.電鍋
解釋
運用電熱方式烹煮食物的家電用品。具有自動烹煮及保溫的功能。
6.火鍋
解釋
一種鍋與爐合為一體的烹飪器具。","打破砂鍋問到底
解解
比喻對事情追根究柢。
造句
他對任何事物都很好奇，總是喜歡打破砂鍋問到底。","鍋（金）：火鍋、鍋鏟
過（?）：經過、過失
渦（?）：漩渦、渦輪
",不製作,是
494,103,4,第六課  特別的滋味,鏟,鏟,金,金,19,11,"1.一種帶把可用以削、挖的金屬器具。如：鍋鏟、煤鏟、土鏟
6.用鏟子或圓鍬等去削平或撮取。如：鏟除、鏟平、鏟土",鍋鏟,"解釋
烹飪時用以翻動、攪拌菜餚的鏟子。
例句
阿姨喜歡用木頭製作的鍋鏟來炒菜。","1.鏟子
解釋
供鏟除與撮取用的鐵器。
6.鏟除
解釋
除去、清除。",不製作,不製作,不製作,是
495,103,4,第六課  特別的滋味,燒,燒,火,火,16,12,"1.使東西著火。如：燃燒、焚燒、燒香拜佛
2.加熱使物體發生變化。如：燒飯、燒水、燒磚
3.人因病而體溫升高。如：發燒
4.先用油炸，再加湯汁來炒或煮。如：燒茄子、紅燒鯉魚
5.烤。如：叉燒
10.熱烤的。如：燒餅、燒雞、燒鴨",燒焦,"解釋
因加熱過度而碳化或枯乾。
例句
爐子裡的地瓜因為烤得太久而燒焦了。","1.發燒
解釋
因病毒、細菌感染或其他傷害，引起體溫調節中樞的異常，而使體內溫度失去平衡，呈現高於常溫的狀態。
6.燒水
解釋
將水加熱。","怒火中燒
解釋
火焰般的怒氣在心中燃起。形容非常憤怒。
造句
當喪權辱國的條款簽訂後，國人皆怒火中燒、義憤填膺。","燒（火）： 燃燒、紅燒
澆（?）： 澆水、澆灌
饒（?）： 豐饒、求饒
撓（?）： 阻撓、撓亂
繞（?）： 環繞、繚繞",不製作,不製作
496,103,4,第六課  特別的滋味,焦,焦,火,火,12,8,"1.物體經火燒而失去水分，以致顏色黃黑，並發生乾枯、脆硬等現象。如：這場大火將樹木都燒焦了
2.乾燥。如：脣焦口燥
3.煩惱、著急。如：心焦
8.姓。如：焦先生",燒焦,"解釋
因加熱過度而碳化或枯乾。
例句
爐子裡的地瓜因為烤得太久而燒焦了。","1.焦黑
解釋
因燒烤或受化學物質侵蝕而呈現黑色。
6.心焦
解釋
心中焦慮急躁。","焦 孟不離
解釋
焦，焦贊。孟，孟良。相傳焦贊與孟良二人交情很好，幾乎天天處在一起。後用「焦 孟不離」比喻感情深厚，形影不離。
造句
他們是焦 孟不離，只要看見其中一個，另一個也就在附近。",不製作,不製作,不製作
497,103,4,第六課  特別的滋味,炒,炒,火,火,8,4,"1.置少量的油於鍋內加熱後，放入食物並不斷翻攪的烹飪方法。如：炒飯、炒三鮮、炒肉絲
6.刻意的運用一些手段、方法來達成某種效果。如：炒地皮、炒股票、炒新聞",炒,"解釋
置少量的油於鍋內加熱後，放入食物並不斷翻攪的烹飪方法。
例句
她靠著一道蝦仁炒蛋，拿到美食比賽冠軍。","1.炒菜
解釋
烹調食物。
6.炒飯
解釋
置少量的油於鍋內加熱後，放入食物並不斷翻攪的烹飪方法。",不製作,"炒（火）：快炒、炒作
沙（?）：沙子、沙拉
妙（女）：巧妙、奇妙",不製作,是
498,103,4,第六課  特別的滋味,拌,拌,手,手,8,5,"1.攪動使調和。如：拌勻、拌菜、攪拌
6.爭吵、鬥嘴。如：拌嘴",拌炒,"解釋
翻攪食物使其調和。
例句
客家小炒要好吃，廚師拌炒的工夫一定要很厲害。","1.涼拌
解釋
用冷食菜餚加料拌和的調理方式。
6.拌勻
解釋
攪拌均勻。",不製作,"拌（?）： 拌勻、涼拌
伴（?）： 作伴、伴隨",不製作,是
499,103,4,第六課  特別的滋味,撒,撒,手,手,15,12,"1.散布、分散。如：撒種、撒胡椒粉
6.將東西散落或傾倒出來。如：他一不小心就把手上的東西撒了一地。",撒,"解釋
放開、鬆開。
例句
大家在紅毯上撒上花瓣，迎接新人進場。","1.撒落
解釋
將東西散落。
6.撒手
解釋
鬆手、放開。","撒手人寰
解釋
比喻人去世。
造句
他因腦溢血而撒手人寰，留下兩個孤苦無依的小孩，急需社會善心人士救助。",不製作,不製作,不製作
500,103,4,第六課  特別的滋味,蔥,蔥,艸,艸,15,11,"1.植物名。石蒜科蔥屬，多年生草本。葉呈管狀，中空，先端尖，有平行脈，下部白色。頂端開白色小花，集成球狀。可作為蔬菜、香辛料。蔥具有袪痰、發汗等功用，亦可用來驅蟲。如：青蔥
6.青綠色。如：蔥翠",蔥花,"解釋
切成細小的青蔥。通常用來調味。
例句
很多傳統小吃上面都會撒上蔥花，用來提味或是增加美觀。","1.蔥白
解釋
蔥近根部的莖。
6.洋蔥
解釋
植物名。百合科蔥屬，多年生草本。原產於地中海東岸、小亞細亞及伊朗等地區。",不製作,不製作,不製作,不製作
501,103,4,第六課  特別的滋味,扒,扒,手,手,5,2,"1.用手或器物將東西聚攏或散開。如：扒土、扒草
2.抓、搔。如：扒癢
7.偷竊。如：扒竊",扒,"解釋
此處指用手或器物將東西聚攏。
例句
很多動物都會扒土把東西藏起來。","1.扒手
解釋
在人多處或公共場所偷取別人財物的小偷。
6.扒土
解釋
用手或器物將東西聚攏或散開。","吃裡扒外
解釋
吃裡，靠自己人生活；扒外，竊取家中財物給外人。比喻不忠於所屬的團體，反而幫助外人。
造句
像他這種幫助外人打擊自己，就是吃裡扒外的人。",不製作,不製作,不製作
502,103,4,第六課  特別的滋味,逗,逗,?,綽,11,7,"1.停止不前。如：逗留
2.招惹、引弄。如：逗弄、挑逗
7.有趣、好笑。如：他裝鬼臉的模樣真逗！",逗,"解釋
招惹、引弄。
例句
小丑精彩的雜耍表演，逗觀眾哈哈大笑。","1.逗笑
解釋
引人發笑。
6.逗號
解釋
一種標點符號。用來分開句內各語或表示語氣的停頓，其符號為「，」。",不製作,不製作,不製作,不製作
503,103,4,第七課  收藏秋天,躲,躲,身,身,13,6,"1.隱藏、藏身。如：躲藏、躲貓貓
6.避開。如：躲雨、躲避",躲,"解釋
隱藏、藏身。
例句
一到白天，蝙蝠就會成群的躲回山洞裡。","1.閃躲
解釋
避開、躲避。
6.躲不掉
解釋
無法隱藏、躲避。","明槍易躲，暗箭難防
解釋
比喻公開的攻擊容易對付，而暗中的攻擊比較難以提防。
造句
「明槍易躲，暗箭難防」，要小心注意別人暗地裡的惡意攻擊或陷害。",不製作,不製作,不製作
504,103,4,第七課  收藏秋天,奧,奧,大,大,13,10,"1.幽深、神祕。如：深奧
6.奧地利的簡稱。如：他赴奧深造",奧萬大,"解釋
位於南投縣 仁愛鄉，是一處森林遊樂區。
例句
每到秋天，就會有大批遊客到奧萬大賞楓。","1.奧妙
解釋
深奧奇妙。
6.深奧
解釋
艱深。","一窺堂奧
解釋
探看其中的奧妙。
造句
藉著這次恐龍博物館的參觀，我終於可以一窺堂奧了。","奧：奧萬大、深奧
澳（?）：澳洲、澳大利
懊（?）：懊悔、懊惱
襖（?）：棉襖、皮襖",不製作,不製作
505,103,4,第七課  收藏秋天,蜿,蜿,虫,悔,14,8,形容河流、道路等曲折延伸的樣子。如：蜿蜒,蜿蜒,"解釋
形容河流、道路等曲折延伸的樣子。
例句
順著這條蜿蜒的小路下去，就可到達河邊。","蜿蜒
解釋
形容河流、道路等曲折延伸的樣子。",不製作,"蜿（虫）：蜿蜒
碗（石）：飯碗、碗筷
婉（女）：婉轉、婉約
惋（?）：惋惜、惋嘆
腕（  左邊要造字  ）：手腕、扼腕",不製作,不製作
506,103,4,第七課  收藏秋天,蜒,蜒,虫,悔,14,8,形容河流、道路等曲折延伸的樣子。如：蜿蜒,蜿蜒,"解釋
形容河流、道路等曲折延伸的樣子。
例句
順著這條蜿蜒的小路下去，就可到達河邊。","蜿蜒
解釋
形容河流、道路等曲折延伸的樣子。",不製作,"蜒（最右部件要造字）：蜿蜒
蜓（最右部件要造字）：蜻蜓點水",不製作,是
507,103,4,第七課  收藏秋天,楓,楓,木,木,13,9,植物名。金縷梅科楓香屬，落葉大喬木。葉呈掌狀三裂，邊緣有細鋸齒。春季抽新葉並開黃褐色花。秋天葉色由黃而紅，甚為美觀，常栽培為庭園樹。木材可供建築及箱櫃用。如：楓紅,楓林,"解釋
楓樹遍布的林子。
例句
山中最令人心怡的景色，就是秋天這片彩色楓林。","1.楓樹
解釋
楓樹為高大喬木，樹高達24米，冠幅可達16米。花期四月到五月，果期九到十月。老枝深黃褐色，具縱條紋，無毛。幼樹直立生長，隨著樹齡的增長，樹冠逐漸敞開呈圓形。
6.楓葉
解釋
楓葉是楓樹的樹葉，亦為加拿大的重要標誌。",不製作,不製作,不製作,是
508,103,4,第七課  收藏秋天,迴,迴,?,綽,10,6,"1.旋轉、環繞。如：迴旋、巡迴
2.掉轉、返回。如：迴向、迴首
3.避開。如：迴避
8.曲折。如：迴廊、迂迴",迴盪,"解釋
迴旋飄浮。
例句
她嘹亮的歌聲在空曠的禮堂中迴盪。","1.巡迴
解釋
沿一定路線到各處。
6.迴廊
解釋
曲折蜿蜒的走廊。","峰迴路轉
解釋
比喻事情有了新的轉機。
造句
因為新證人的指認，讓這件竊盜案峰迴路轉，終於抓到幕後黑手了。","迴（?）：迴轉、巡迴
回：回家、收回
洄（?）：洄流",不製作,不製作
509,103,4,第七課  收藏秋天,盪,盪,皿,皿,17,12,"1.擺動、搖動。如：搖盪、飄盪
6.閒逛。如：遊盪、晃盪、閒盪",迴盪,"解釋
迴旋飄浮。
例句
她嘹亮的歌聲在空曠的禮堂中迴盪。","1.動盪
解釋
晃動、不穩定。
6.搖盪
解釋
搖擺晃盪。",不製作,"盪（皿）：迴盪、動盪
蕩（?）：蕩漾、坦蕩",不製作,不製作
510,103,4,第七課  收藏秋天,梢,梢,木,木,11,7,"1.樹枝的末端。如：樹梢、柳梢
6.事物的末端。如：眉梢、髮梢、船梢",樹梢,"解釋
樹木的末端。
例句
有隻小鳥停在樹梢上，觀察獵物的動靜。","1.末梢
解釋
事物的最後部分。
6.盯梢
解釋
暗地跟蹤，偵察其行動。","喜上眉梢
解釋
喜悅之情流露於眉宇之間。
造句
看著子女成家立業，他不禁喜上眉梢。","梢（木）：樹梢、眉梢
悄（?）：悄悄的來
稍（禾）：稍微、稍息
銷（金）：推銷、開銷
消（?）：消除、消失
捎（?）：捎信、捎來",不製作,是
511,103,4,第七課  收藏秋天,醉,醉,酉,酉,15,8,"1.飲酒過量以致神志不清。如：醉倒、酒醉、爛醉如泥
2.用酒浸漬的。如：醉蝦、醉雞
7.沉迷、迷戀。如：沉醉、心醉、陶醉",醉,"解釋
飲酒過量以致神志不清。
例句
老師說喝醉酒的人，一定不可以開車。","1.沉醉
解釋
大醉。比喻專心於某種事物或意境。
6.醉意
解釋
醉酒的感覺或意態。","醉翁之意不在酒
解釋
本指喝酒時意不在酒，而在寄情於山水中。語出宋 歐陽脩＜ 醉翁亭記＞。後也用「醉翁之意不在酒」比喻別有用心。
造句
我看他出席這場酒會是醉翁之意不在酒，因為他滴酒不沾，一定別有目的。","醉（酉）：喝醉、醉心
粹（米）：國粹、純粹
碎（石）：碎掉、零碎",不製作,不製作
512,103,4,第七課  收藏秋天,翩,翩,羽,羽,15,9,"1.搖曳飄忽的樣子。如：翩翩飛起、翩然而至
6.風流瀟灑的樣子。如：風度翩翩",翩翩起舞,"解釋
輕盈愉快的跳起舞來。
例句
春天到了，蝴蝶在花園裡翩翩起舞，非常美麗。","1.翩然
解釋
行動飄忽輕捷的樣子。
6.翩翩
解釋
形容文采風流、舉止灑脫的樣子。",不製作,"翩（羽）：翩翩起舞
遍（?）：一遍、普遍
篇（竹部要造字    ）：一篇、詩篇
編（?）：編織、編輯
偏（?）：偏向、偏好
扁：扁平、扁桃腺
匾（?）：匾額",不製作,不製作
513,103,4,第七課  收藏秋天,悄,悄,心,心,10,7,"1.寂靜。如：靜悄悄、悄然無聲
6.憂愁。如：憂心悄悄",悄悄的,"解釋
不聲不響的。
例句
他悄悄的走進教室，深怕驚醒了正在午休的同學。","1.悄然
解釋
寂靜無聲的樣子。
6.悄悄話
解釋
指輕聲細語，祕密不欲人知的話。",不製作,不製作,不製作,不製作
514,103,4,第七課  收藏秋天,捲,捲,手,手,11,8,"1.把物品環繞彎曲成圓筒狀。通「卷」。如：捲蓆子、捲竹簾、捲畫軸
2.指某些自然界或人的力量將東西掀起或帶走。如：席捲、風捲殘雲、捲起塵土
7.比喻收拾後占為己有。如：捲款潛逃",捲,"解釋
指某些自然界或人的力量將東西掀起或帶走。
例句
強風一來，地上的葉子被高高捲起，好像要飛上天了。","1.捲走
解釋
指某些自然界或人為的力量將東西掀起帶走。
6.春捲
解釋
用麵粉製成薄皮，內包多種菜餚，捲成細長形後下鍋油炸的一種食品。","捲土重來
解釋
捲土，人馬奔跑時揚起塵土；重來，重新猛撲過來。「捲土重來」比喻事情失敗後，重組力量，再次來過。
造句
今年的球賽雖然失利，明年我隊勢必捲土重來，再創佳績。","捲（?）：捲落、捲髮
倦（?）：疲倦、倦怠
卷：書卷、開卷
蜷（虫）：蜷縮、蜷曲",不製作,不製作
515,103,4,第七課  收藏秋天,眨,眨,目,目,10,5,眼瞼一開一閉。如：眨眼,眨眨眼,"解釋
眼睛一張一合。
例句
寵物店的小貓對我眨眨眼，好像要我帶牠回家。","1.一眨眼
解釋
眼皮一開一合。比喻時間很短。
6.殺人不眨眼
解釋
形容人非常狠毒殘忍。",不製作,"眨（目）：眨眼
貶（貝）：貶值、貶低",不製作,不製作
516,103,4,第一課 藍色的海洋大軍  ,潮,潮,水,水,15,12,"1.海水受日月引力影響而定時漲落的現象。如：潮汐、漲潮
2.溼潤。如：潮溼、受潮
8.像潮水般洶湧起伏的形勢。如：思潮、學潮",暗潮,"解釋
潛伏在水面或地面下的潮水。亦比喻隱藏在暗處的勢力。
例句
平靜潛伏的海面下有許多看不到的暗潮，千萬要小心！","1.風潮
解釋
風向與潮汐。比喻一時轟動喧騰的事情。
7.人潮
解釋
形容人數眾多。","心血來潮
解釋
心中忽然產生念頭。
造句
他突然心血來潮，拜訪多年不見的老友。","潮（?，文鼎標楷無字形，需造字）： 退潮、潮流
朝： 王朝、朝向
嘲（口）： 嘲笑、解嘲",不製作,不製作
517,103,4,第一課 藍色的海洋大軍  ,戰,戰,戈,戈,16,12,"1.打仗、爭鬥。如：作戰、戰鬥
2.與戰爭有關的。如：戰法、戰果、戰機
8.姓。如：戰小姐",戰雲,"解釋
形容戰爭的氣氛。
例句
前線戰雲密布，戰士們摩拳擦掌隨時準備應戰。","1.大戰
解釋
大規模的戰爭。
7.挑戰
解釋
向人尋釁，激起爭鬥。","百戰百勝
解釋
形容善於作戰，所向無敵。
造句
這個投手球速極快，只要有他上場，球隊必定百戰百勝。",不製作,不製作,不製作
518,103,4,第一課 藍色的海洋大軍  ,兵,兵,八,八,7,5,"1.武器。如：兵器、短兵相接
2.戰士、軍隊。如：調兵遣將、按兵不動
3.戰爭。如：兵連禍結、兵荒馬亂
4.有關軍事或戰爭的事。如：紙上談兵、談笑用兵、兵不厭詐
5.專指軍隊中的基層成員。如：炮兵、步兵
11.姓。如：兵先生",小兵,"解釋
軍隊中的基層成員。
例句
大將軍派小兵們輪值守夜，以防敵軍突襲。","1.兵器
解釋
武器。
7.當兵
解釋
服兵役。","賠了夫人又折兵
解釋
比喻不但沒有占到便宜，反而吃了大虧。
造句
不要這麼做，會讓你賠了夫人又折兵的。",不製作,不製作,不製作
519,103,4,第一課 藍色的海洋大軍  ,蓄,蓄,艸,艸,14,10,"1.儲藏、儲存。如：儲蓄、蓄水池
7.留。如：蓄髮
",蓄勢待發,"解釋
貯備隨時可以展現的實力，待機而發。
例句
田徑場邊的選手各個蓄勢待發，準備上場一較高下。","1.積蓄
解釋
累積儲存。
7.蓄水
解釋
將水儲存起來。","兼容並蓄
解釋
廣泛包容各種不同的事物或觀念。
造句
這次展覽的內容兼容並蓄，值得一看。","蓄（?，文鼎標楷無字形，需造字）：儲蓄、蓄水池
畜：牲畜、家畜",不製作,不製作
